Company,Fine_Amount,Date,Sector,Type,Country,Authority,Source_URL,PDF_URL
gerade der jeweilige Leasingnehmer durch den ungewollten Vertragsschluss in sittenwidriger Weise,,2019-12-10,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgham-2019-12-10-13-u-8618,
dass sich die bereits festgestellten Nachteile und Gesundheitsgefahren verstärken könnten und lasse,,2019-06-25,Verwaltungsgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgsn-2019-06-25-2-m-4219,
sei die forstrechtliche Ausgleichsbilanz aktualisiert worden. Im Rahmen der zweiten Anhörungsphase,,2021-04-12,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2021-04-12-9-k-320319,
indem - wie vorliegend erfolgt - Pflichten zur Verwertung und Beseitigung von Abfällen nur in Bezug,,2022-04-29,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2022-04-29-9-k-453620,
gerin allerdings nicht dargetan. Das Landgericht hat in seinem den Tatbestandsberichtigungsantrag,,2019-05-09,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2019-05-09-2-u-6618,
sich mit angemessenem Wohnraum zu versorgen. Insbesondere wanderten Familien in der Expansionsphase,,2021-07-06,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2021-07-06-3-s-210319,
der Darstellung in der Begründung sei eine grundlegende und unzumutbare Änderung der Verhältnisse,,2021-07-01,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2021-07-01-7-k-627418,
t auch angesichts der dazu kontrastierenden relativen Konstanz der ermittelten Gesamtergebnisse,,2018-11-08,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-stuttgart-2018-11-08-4-k-1497217,
eine Tochtergesellschaft der I AG. Pächterin des C Palais und der C Residenz ist die C Holding GmbH,,2022-03-28,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgham-2022-03-28-8-u-7320,
dass es bei der Festlegung des Umlagesatzes durch den Landkreis beziehungsweise intern den Kreistag,,2019-11-12,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgsl-2019-11-12-2-a-15918,
indem - wie vorliegend erfolgt - Pflichten zur Verwertung und Beseitigung von Abfällen nur in Bezug,,2022-04-29,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2022-04-29-9-k-454220,
gungsentscheidung im Planfeststellungsbeschluss zur Abschnittsbildung hinreichend auf eine Prognose,,2019-11-06,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgrlp-2019-11-06-8-c-1024018,
als dass die Transaktionsliste der D. Bank AG als völlig unbrauchbar anzusehen wäre und der Vortrag,,2022-06-03,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgbs-2022-06-03-4-u-26421,
sei der Kursgewinn tatsächlich realisiert worden und müsse entsprechend bilanziert werden. Diese,,2020-02-18,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2020-02-18-2-s-150418,
erklärt. Die Begründung sei jedoch zur Präzisierung des Schutzziels ungeeignet. Die Vorgehensweise,,2020-07-23,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2020-07-23-1-s-158418,
Die Kunden unterzeichneten zu Beginn der Geschäftsbeziehung mit T einen Vermögensverwaltungsvertrag,,2019-06-11,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-koln-2019-06-11-109-kls-318,
welchen Freigabepfad er beantrage. Vorliegend bestehe aufgrund der zu erwartenden Messergebnisse,,2022-04-29,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-karlsruhe-2022-04-29-9-k-466020,
ob die Einstimmigkeit auch hinsichtlich der Auflösungsentscheidung abbedungen ist. Der Berufung mag,,2022-04-27,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkarl-2022-04-27-6a-u-121,
stehen dem Menschen in verwandelter Form in der Ernährung wieder zur Verfügung. Wachstumsprozesse,,2022-02-25,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-02-25-2-s-68321,
Auf den Vorlagebeschluss wird wegen der Begründung im Übrigen und der sonstigen Ausführungen Bezug,,2019-03-27,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgstut-2019-03-27-20-kap-217,
dem Monitoring-Index greifbar überlegene Alternative zur Deflationierung der nominalen Umsatzerlöse,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-5319-v,
sondern um die rechtliche Existenz der Stiftung als solche.Subjektiv-öffentliche Rechte in Bezug,,2022-06-21,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-06-21-1-s-186520,
DM oder einen Ausschluss des Apothekers von der Beteiligung an dem Arzneilieferungsvertrag,,2019-03-19,Sozialgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lsgbw-2019-03-19-l-11-kr-445517-zvw,
der Strukturparameter Jahresarbeit der Letztverbraucher sogar eine gegenläufige Entwicklung. Diese,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-63719-v,
in der X. X. betreffenden Steuerstrafsache und der Bericht über die Fahndungsprüfung bei der B-GmbH,,2020-06-04,Finanzgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/fg-baden-wurttemberg-2020-06-04-1-k-249219,
als Spezialunternehmen geschlossene Vertrag kein Nutzungsrecht auch zu Gunsten des die Zustellmasse,,2019-01-31,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkarl-2019-01-31-6-u-13514,
erfolgte Verschmelzung der P Holding GmbH auf die G-Holding Niederösterreich-S Genossenschaft mbH,,2022-06-23,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgk-2022-06-23-18-u-21320,
regele die Vorschrift ihrem eindeutigen Wortlaut nach auch nur eine Verbandsklagebefugnis in Bezug,,2019-04-08,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovghh-2019-04-08-1-bf-20015,
