enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-69789,DE,Daimler AG,motor vehicles,competition-related offenses,anti-competitive practices,2019-11-21,26011100,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 100 million euros on Bayerische Motoren Werke AG, Daimler AG and Volkswagen AG for anticompetitive practices in the purchase of long steel products. The Bundeskartellamt did not specify how much each company would pay, but there were numerous reports that Daimler's share was 23.5 million: (click here)",https://www.ashurst.com/en/news-and-insights/legal-updates/competition-newsletter-november-and-december-2019/cn08-bmw-daimler-and-volkswagen-fined
VTG24-69801,DE,Nestle Deutschland AG,food products,competition-related offenses,anti-competitive practices,2013-03-27,25724600,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 20 million euros on Nestle Deutschland AG for participating in an illegal exchange of competition-relevant information.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/27_03_2013_Hema.html
VTG24-69819,DE,Iveco Magirus Brandschutztechnik GmbH,motor vehicles,competition-related offenses,anti-competitive practices,2011-07-27,25312400,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed a fine of 17.5 million euros against Iveco Magirus Brandschutztechnik GmbH in Ulm for its involvement in anti-competitive agreements on the manufacture of fire engines equipped with turntable ladders.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2011/27_07_2011_Feuerwehrdrehleiter.html
VTG24-69820,DE,Kraft Foods Deutschland AG,food products,competition-related offenses,anti-competitive practices,2011-03-17,25111800,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling EUR 38 million on three manufacturers of consumer goods on account of the illegal exchange of competition relevant information. The agency did not announce how much each company would pay, but in an SEC filing Kraft Foods said its fine was 18 million Euros: (click here)",https://www.sec.gov/Archives/edgar/data/1103982/000119312511129883/d10q.htm
VTG24-69821,DE,Unilever Deutschland Holding AG,food products,competition-related offenses,anti-competitive practices,2011-03-17,25111800,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling EUR 38 million on three manufacturers of consumer goods--Kraft Foods Deutschland, Unilever Deutschland and a smaller company-- on account of the illegal exchange of competition relevant information. The agency did not announce how much each company would pay, but in an SEC filing Kraft Foods said its fine was 18 million Euros. Here we assume Unilever paid the same amount.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2011/17_03_2011_Hema.html
VTG24-78877,DE,Deutsche Bank AG,financial services,financial offenses,investor protection violation,2025-03-04,24088172,Federal Financial Supervisory Authority- BaFin,The sanction was based on violations of Section 80 Paragraph 1 Sentence 2 Number 1 of the Securities Trading Act ( WpHG ) and Section 130 Paragraph 1 of the Administrative Offenses Act ( OWiG ) in conjunction with Section 83 Paragraph 3 Sentence 1 of the WpHG as well as Section 22 of the Payment Accounts Act ( ZKG ) and Section 23 Paragraph 1 of the ZKG .,https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Massnahmen/60b_KWG_84_WpIG_und_57_GwG/meldung_2025_03_04_Deutsche_Bank_AG.html;jsessionid=CD9C4776B59099005E1A813EA87CE6F2.internet972
VTG24-69794,DE,EDEKA,retailing,competition-related offenses,anti-competitive practices,2016-12-15,19455800,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling 18.3 million euros on retailers EDEKA Handelsgesellschaft Nord mbH and EDEKA Handelsgesellschaft Hessenring mbH, for involvement in price fixing agreements on the shop prices for beer products.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2016/15_12_2016_Vertikalfall%20Abschluss.html
VTG24-69865,DE,Commerzbank AG,financial services,financial offenses,tax violations,2015-10-14,19333080,German Court System,Commerzbank agreed to pay 17 million euros to resolve allegations its subsidiaries in Luxembourg helped wealthy German clients stash assets in shell companies in Panama to evade German taxes.,https://www.reuters.com/article/commerzbank-fine-idUSL8N12E4HH20151014/
VTG24-75737,DE,Hoya Lens Deutschland GmbH,miscellaneous manufacturing,competition-related offenses,anti-competitive practices,2010-06-10,17983200,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling 115 euros million on five leading manufacturers of ophthalmic lenses in Germany for their involvement in cartel agreements. The Bundeskartellamt did not specify how much each company would pay, but Essilor disclosed on page 127 of its 2010 annual report that it was fined 50 million euros: (click here). Hoya did not disclose its share. Here we assume it was one-fourth of the remainder, or about 15 million euros.",https://www.essilor.com/essilor-content/uploads/2016/09/ESSILOR_RegistrationDocument_2010.pdf
VTG24-69796,DE,Tempur Deutschland GmbH,housewares and home furnishings,competition-related offenses,anti-competitive practices,2015-10-22,16864600,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt fined Tempur Deutschland GmbH 15.5 million euros for imposing resale price maintenance on retailers selling its products.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2015/22_10_2015_Tempur.html
VTG24-69857,DE,Deutsche Bank,financial services,financial offenses,tax violations,2019-12-06,16638150,German Court System,Deutsche Bank agreed to pay 15 million euros to resolve a criminal investigation by the Frankfurt Public Prosecutor of abetting tax evasion and money laundering.,https://www.db.com/news/detail/20191206-criminal-investigations-into-deutsche-bank-employees-in-connection-with-regula-closed?language_id=1
VTG24-69825,DE,Citigroup Global Markets Europe AG,financial services,financial offenses,investor protection violation,2024-06-20,13936967,Federal Financial Supervisory Authority- BaFin,"The sanction was based on a violation of Section 80 Paragraph 2 Sentence 3 Numbers 1 and 2 of the Securities Trading Act ( WpHG ). Citigroup Global Markets Europe AG , as a securities services company that conducts algorithmic trading, did not have systems and risk controls in place to ensure that its trading systems are subject to appropriate trading thresholds and trading limits and that it avoids the transmission of erroneous orders which could cause or contribute to market disruptions.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Massnahmen/40c_neu_124_WpHG/meldung_2024_06_20_CitigroupGlobalMarketsEuropeAG.html;jsessionid=E44462B5C9ED8F75FB0E1705483BAE90.internet982
VTG24-69864,DE,Deutsche Borse,financial services,financial offenses,insider trading,2017-09-15,12486495,German Court System,Deutsche Borse was penalized by a German prosecutor for insider trading that allegedly took place before its plan to merge wit the London Stock Exchange Group became public.,(click here).
VTG24-69808,DE,ABB AG,utilities and power generation,competition-related offenses,anti-competitive practices,2012-09-20,11350400,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines amounting to a total of 24.3 million Euros on four manufacturers of power transformers. The Bundeskartellamt did not specify how much each company would pay, but ABB disclosed on page 111 of its 2012 annual report that it paid 8.7 million euros: (click here)",https://search.abb.com/library/Download.aspx?DocumentID=9AKK106103A3916&LanguageCode=en&DocumentPartId=&Action=Launch
VTG24-69780,DE,Kraftanlagen Munchen GmbH,construction and engineering,competition-related offenses,anti-competitive practices,2020-03-27,10966200,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 110 million euros against eleven technical building service providers for colluding on bids for major contracts. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share of the total.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2020/11_03_2020_TGA.html
VTG24-69781,DE,Caverion Deutschland GmbH,business services,competition-related offenses,anti-competitive practices,2020-03-27,10966200,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 110 million euros against eleven technical building service providers for colluding on bids for major contracts. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share of the total.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2020/11_03_2020_TGA.html
VTG24-69782,DE,Engie Deutschland GmbH,utilities and power generation,competition-related offenses,anti-competitive practices,2020-03-27,10966200,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 110 million euros against eleven technical building service providers for colluding on bids for major contracts. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share of the total.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2020/11_03_2020_TGA.html
VTG24-69783,DE,Engie Gebaudetechnik GmbH,utilities and power generation,competition-related offenses,anti-competitive practices,2020-03-27,10966200,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 110 million euros against eleven technical building service providers for colluding on bids for major contracts. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share of the total.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2020/11_03_2020_TGA.html
VTG24-69839,DE,Deutsche Bank AG,financial services,financial offenses,banking violation,2021-12-29,9801128,Federal Financial Supervisory Authority- BaFin,"As a supervised contributor, Deutsche Bank AG at times did not have in place effective preventive systems, controls and policies to ensure the integrity and reliability of all contributions of input data to the administrator.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_211229_deutsche_bank_ag_geldbusse_en.html
VTG24-69802,DE,Beiersdorf AG,household and personal care products,competition-related offenses,anti-competitive practices,2013-03-18,8497970,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 39 million Euros on six manufacturers of branded drugstore products for engaging in anti-competitive information exchanges. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/18_03_2013_Drogerieartikel.html
VTG24-69803,DE,GlaxoSmithKline Consumer Healthcare GmbH & Co. KG,pharmaceuticals,competition-related offenses,anti-competitive practices,2013-03-18,8497970,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 39 million Euros on six manufacturers of branded drugstore products for engaging in anti-competitive information exchanges. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/18_03_2013_Drogerieartikel.html
VTG24-69804,DE,L'Oreal Deutschland GmbH,household and personal care products,competition-related offenses,anti-competitive practices,2013-03-18,8497970,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 39 million Euros on six manufacturers of branded drugstore products for engaging in anti-competitive information exchanges. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/18_03_2013_Drogerieartikel.html
VTG24-69805,DE,Gillette Gruppe Deutschland GmbH & Co. oHG,household and personal care products,competition-related offenses,anti-competitive practices,2013-03-18,8497970,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 39 million Euros on six manufacturers of branded drugstore products for engaging in anti-competitive information exchanges. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/18_03_2013_Drogerieartikel.html
VTG24-69806,DE,Procter & Gamble GmbH,household and personal care products,competition-related offenses,anti-competitive practices,2013-03-18,8497970,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines of 39 million Euros on six manufacturers of branded drugstore products for engaging in anti-competitive information exchanges. The Bundeskartellamt did not specify how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/18_03_2013_Drogerieartikel.html
VTG24-69778,DE,Hochtief Solutions AG,construction and engineering,competition-related offenses,anti-competitive practices,2022-06-09,6693250,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines totalling 12.5 million euros against Hochtief Solutions AG and Dillinger Huttenwerke for illegal agreements within the context of award procedures. The agency did not announce how much each company would pay. Here we assume they each paid half of the total.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2022/09_06_2022_Industriebau.html
VTG24-69812,DE,TSTG Schienen Technik GmbH & Co. KG,metals,competition-related offenses,anti-competitive practices,2012-07-05,5656640,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines totalling 124.5 million euros on four rail manufacturers and suppliers for concluding anticompetitive agreements to the detriment of Deutsche Bahn AG. TSTG Schienen Technik GmbH & Co. KG was fined 4.5 million euros.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2012/05_07_2012_Schienenkartell.html
VTG24-69823,DE,Kraft Foods Ausser Haus Service GmbH,beverages,competition-related offenses,anti-competitive practices,2010-06-09,5566650,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totaling approximnately EUR 30 million on eight coffee roasters on grounds of price fixing in the so-called out-of-house market (supply of bulk customers). The Bundeskartellamt did not specify how much each company would pay, but Kraft Foods disclosed in a Securities and Exchange Commission filing that it paid 4.66 million: (click here)",https://www.sec.gov/Archives/edgar/data/1103982/000119312510180593/d10q.htm
VTG24-69838,DE,Bank of America Corporation,financial services,financial offenses,investor protection violation,2022-08-11,5234793,Federal Financial Supervisory Authority- BaFin,BaFin fined the bank for failing to send out voting rights notifications in a timely manner.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_220811_bank_of_america_corp_geldbusse_en.html
VTG24-69813,DE,Voestalpine BWG GmbH & Co. KG,metals,competition-related offenses,anti-competitive practices,2012-07-05,5028120,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines totalling 124.5 million euros on four rail manufacturers and suppliers for concluding anticompetitive agreements to the detriment of Deutsche Bahn AG. voestalpine BWG GmbH & Co. KG was fined 4 million euros.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2012/05_07_2012_Schienenkartell.html
VTG24-69852,DE,BlackRock Investment Management ( UK ) Ltd.,financial services,financial offenses,investor protection violation,2015-03-20,3486698,Federal Financial Supervisory Authority- BaFin,"BaFin fined BlackRock for distributing notifications regarding voting rights held and financial instruments incorrectly or late, thereby violating the provisions of the Securities Trading Act (Sections 21, 22, 25). The incorrect or delayed notifications were due to incorrect assessments of the German notification obligations and affected a large number of large German share issuers.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Meldung/2015/meldung_150320_bussgeld_blackrock.html
VTG24-69835,DE,ABN AMRO,financial services,financial offenses,banking violation,2023-02-21,3205440,Federal Financial Supervisory Authority- BaFin,BaFin imposed an administrative fine amounting to EUR 3 million on ABN AMRO Bank N.V.'s Frankfurt branch because the branch's management did not have appropriate access to the Compliance Report for the 2019 financial year.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_230221_abn_amro_bank_nv_frankfurt_branch_en.html
VTG24-73613,DE,Strabag AG,construction and engineering,government-contracting-related offenses,procurement competition violation,2024-11-06,3040933,Federal Cartel Office-Bundeskartellamt,The Federal Cartel Office imposed a fine of EUR 2.79 million on Strabag AG for illegal agreements in the context of tender rigging in connection with the award of a construction contract for the renovation of the Zoo Bridge in Cologne at the beginning of 2017.,https://www.bundeskartellamt.de/SharedDocs/Meldung/DE/Pressemitteilungen/2024/06_11_2024_Zoobruecke.html
VTG24-69818,DE,Kraft Foods Deutschland GmbH,beverages,competition-related offenses,anti-competitive practices,2011-10-18,3040510,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling approximately nine million euros on two manufacturers of instant cappuccino--Kraft Foods Deutschland GmbH and Kruger GmbH & Co. Kommanditgesellschaft--for having agreed on price increases. The Bundeskartellamt did not specify how much each company would pay, but Kraft Food disclosed in its 10-K filing for 2011 that it paid 2.2 million euros: (click here)",https://www.sec.gov/Archives/edgar/data/1103982/000119312512080318/d277353d10k.htm
VTG24-69855,DE,Migros Bank,diversified,financial offenses,tax violations,2021-04-26,2902704,German Court System,Migros agreed to pay over 2 million euros to resolve allegations that it helping banking customers evade taxes.,https://www.reuters.com/article/migros-bank-germany-idUSL8N2MJ1TM/
VTG24-76469,DE,DB Schenker,freight and logistics,competition-related offenses,kickbacks and bribery,2016-10-18,2197260,German Court System,"The Cologne public prosecutor's office and DB Schenker agreed to terminate an investigation into unexplained payments for logistics services provided in Russia. At the public prosecutor's request, a fine of 2 million euros was imposed on DB Schenker's Russian entity for breaches of the law between 2010 and mid-2012.",https://www1.deutschebahn.com/resource/blob/1047414/7b07c8e5cd16e641a57689ae2b4f9e8c/ib2016_dbkonzern_en-data.pdf
VTG24-69841,DE,JPMorgan Chase Bank N.A.,financial services,financial offenses,investor protection violation,2021-07-21,2156161,Federal Financial Supervisory Authority- BaFin,BaFin fined the bank for failing to send out voting rights notifications in a timely manner.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_210721_jpmorgan_chase_bank_na_geldbusse_en.html
VTG24-69791,DE,Gaul GmbH,construction and engineering,competition-related offenses,anti-competitive practices,2018-12-10,1626940,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed a fine amounting to 1.43 million euros on Gaul GmbH, a manufacturer of asphalt mixes, for participating in a cartel agreement which involved prices, sales areas, customers and quotas for the supply of construction companies in the Rhine-Main area between 2005 and 2013.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2018/10_12_2018_Walzasphalt.html
VTG24-69826,DE,Commerzbank AG,financial services,financial offenses,anti-money-laundering deficiencies,2024-04-22,1545076,Federal Financial Supervisory Authority- BaFin,"The Federal Financial Supervisory Authority ( BaFin ) imposed two fines of EUR 375,000 and EUR 1,075,000 on Commerzbank AG - also as the universal successor to comdirect Bank AG - with a legally binding decision dated March 11, 2024 on the basis of Section 130 Paragraph 1 of the Act on Administrative Offenses (OWiG) in conjunction with Section 56 Paragraph 1 Sentence 1 No. 3, Section 56 Paragraph 1 Sentence 1 No. 20, Section 56 Paragraph 1 No. 32 GwG, Section 56 Paragraph 1 No. 34 GwG and Section 56 Paragraph 1 No. 35 GwG of the Act on the Tracing of Proceeds from Serious Crimes (Money Laundering Act - GwG).",https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Massnahmen/60b_KWG_84_WpIG_und_57_GwG/meldung_240422_Commerzbank_AG.html
VTG24-69846,DE,Linde GmbH,industrial services,financial offenses,investor protection violation,2020-07-09,1441005,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to comply with the requirement to publish inside information in a timely fashion.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_200709_linde_gmbh_geldbusse_en.html
VTG24-69809,DE,Siemens AG,diversified,competition-related offenses,anti-competitive practices,2012-09-20,1304640,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines amounting to a total of 24.3 million Euros on four manufacturers of power transformers. The Bundeskartellamt did not specify how much each company would pay, but Siemens disclosed on page 194 of its 2012 annual report that it ""agreed to pay a fine in the single-digit EUR million range"": (click here). Here we use a figure of 1 million euros to represent the minimum amount it paid.",https://www.siemens.com/investor/pool/en/investor_relations/siemens_ar_2012.pdf
VTG24-69834,DE,Landesbank Berlin,financial services,financial offenses,investor protection violation,2023-04-04,1085600,Federal Financial Supervisory Authority- BaFin,"BaFin imposed an administrative fine amounting to 1,000,000 euros on Landesbank Berlin AG on grounds that the bank had violated the Market Abuse Regulation (MAR) by unlawfully disclosing inside information.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_2023_04_21_Landesbank_Berlin_en.html
VTG24-83399,DE,Vattenfall Europe Sales GmbH,utilities and power generation,consumer-protection-related offenses,privacy violation,2021-10-14,1042538,Hamburg Commissioner for Data Protection and Freedom of Information,"The Hamburg Commissioner for Data Protection, acting on behalf of the EDPB, fined Vattenfall more than 900,000 euros for violating data regulations when checking applications for new-customer discounts for electricity supply contracts.",https://edpb.europa.eu/news/national-news/2021/hamburg-dpa-penalty-against-vattenfall-europe-sales-gmbh_en
VTG24-69824,DE,BNP Paribas S.A.,financial services,financial offenses,investor protection violation,2024-07-25,900085,Federal Financial Supervisory Authority- BaFin,"As an investment services provider, BNP Paribas S.A. Niederlassung Deutschland did not provide its clients with information on all costs and associated charges relating to specific financial instruments in good time in accordance with the requirements.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_2024_07_25_BNP_Paribas_en.html;jsessionid=E44462B5C9ED8F75FB0E1705483BAE90.internet982
VTG24-69851,DE,Goldman Sachs International,financial services,financial offenses,investor protection violation,2019-09-06,883120,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to send out voting rights notifications in a timely manner.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_190906_goldman_sachs_int_geldbusse_en.html
VTG24-69848,DE,BlackRock Investment Management (UK) Limited,financial services,financial offenses,investor protection violation,2020-04-21,808319,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to send out voting rights notifications in a timely manner.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_200421_blackrock_inv_management_geldbusse_en.html
VTG24-69847,DE,Barclays PLC,financial services,financial offenses,investor protection violation,2020-06-16,789124,Federal Financial Supervisory Authority- BaFin,BaFin fined Barclays for failing to distribute voting rights notifications within the prescribed period.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_200616_barclay_en.html
VTG24-69843,DE,Covestro AG,chemicals,financial offenses,investor protection violation,2020-10-12,709338,Federal Financial Supervisory Authority- BaFin,BaFin fined Covestro for failing to publish a notification that it had reached a relevant threshold in respect of its own shares within the prescribed period.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_201012_covestro_ag_geldbusse_en.html
VTG24-69831,DE,Delivery Hero SE,miscellaneous services,financial offenses,investor protection violation,2023-11-22,689182,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to comply with the requirement to publish inside information in a timely fashion.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_2023_11_08_Delivery_Hero_en.html
VTG24-69854,DE,Tesla Incorporated,motor vehicles,environment-related offenses,waste violation,2022-11-24,620622,German Court System,"After being fined 12 million euros by German environmental regulators for failure to comply with regulations on taking back and recycling automobile batteries, the company appealed and eventually got the penalty reduced to 600,000 euros.",https://ir.tesla.com/_flysystem/s3/sec/000095017023001409/tsla-20221231-gen.pdf
VTG24-69827,DE,MTU Aero Engines AG,aerospace and military contracting,financial offenses,investor protection violation,2024-03-20,553886,Federal Financial Supervisory Authority- BaFin,The sanction related to a breach of the first subparagraph of Article 17 (1) of the Market Abuse Regulation (MAR). MTU Aero Engines AG failed to publish inside information without undue delay.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_2024_03_20_MTU_Aero_Engines_AG_en.html
VTG24-69776,DE,EY,business services,financial offenses,accounting fraud or deficiencies,2023-04-03,541955,Auditor Oversight Body-APAS,"The German arm of EY was fined 500,000 for breach of professional duty in auditing the financial processor Wirecard AG, which became insolvent amid a financial scandal.",https://apnews.com/article/wirecard-ey-germany-audit-fines-01230bcc1d3f6a3e0bc9eef2ab1f047b
VTG24-69836,DE,Landesbank Baden-Wurttemberg,financial services,financial offenses,investor protection violation,2022-11-23,511615,Federal Financial Supervisory Authority- BaFin,Landesbank Baden-Wurttemberg was fined for failing to notify BaFin without delay that it had reasonable suspicion that an order in a financial instrument constituted insider dealing.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_221123_landesbank_baden_wuerttemberg_geldbusse_en.html
VTG24-83403,DE,Akbank AG,financial services,financial offenses,anti-money-laundering deficiencies,2025-04-23,496026,Federal Financial Supervisory Authority- BaFin,"AKBANK AG was found to have failed to implement effective policies, systems, and procedures for detecting and reporting suspicious orders and transactions.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Massnahmen/60b_KWG_84_WpIG_und_57_GwG/meldung_2024_04_23_Akbank.html?cms_expanded=true
VTG24-69845,DE,Bayer AG,chemicals,financial offenses,investor protection violation,2020-08-21,402771,Federal Financial Supervisory Authority- BaFin,BaFin fined Bayer for failing to distribute voting rights notifications within the prescribed period.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_200821_bayer_ag_geldbusse_en.html
VTG24-69842,DE,Continental AG,automotive parts,financial offenses,investor protection violation,2021-01-27,394732,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to comply with the requirement to publish inside information in a timely fashion.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_210127_continental_ag_geldbusse_en.html
VTG24-69810,DE,Assa Abloy Entrance Systems GmbH,miscellaneous manufacturing,competition-related offenses,anti-competitive practices,2012-07-25,362973,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines totalling approximately 2.4 million Euro on eight manufacturers of automatic door systems on account of several illegal agreements. The agency did not say how much each company would pay. Here we assume they each paid an equal share.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2012/25_07_2012_Automatikt%C3%BCren.html
VTG24-69840,DE,Vanguard Group Inc.,financial services,financial offenses,investor protection violation,2021-12-02,328437,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to send out voting rights notifications in a timely manner.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_211202_the_vanguard_group_inc_geldbusse_en.html
VTG24-69830,DE,KION Group,miscellaneous manufacturing,financial offenses,investor protection violation,2023-12-21,306802,Federal Financial Supervisory Authority- BaFin,BaFin fined the company for failing to comply with the requirement to publish inside information in a timely fashion.,https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/40c_neu_124_WpHG/meldung_2023_12_21_KION_en.html
