enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url,case_name
VTG24-72488,KR,Novartis Korea Ltd.,pharmaceuticals,competition-related offenses,anti-competitive practices,2011.9.5,2205702,Korea Fair Trade Commission,The KFTC fined five pharmaceutical companies for giving unlawful kickbacks to health professionals to encourage them to prescribe their drugs.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=529&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37731",Novartis Korea Ltd. - anti-competitive practices
VTG24-72489,KR,Sanofi-Aventis Korea Ltd.,pharmaceuticals,competition-related offenses,anti-competitive practices,2011.9.5,2164457,Korea Fair Trade Commission,The KFTC fined five pharmaceutical companies for giving unlawful kickbacks to health professionals to encourage them to prescribe their drugs.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=529&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37731",Sanofi-Aventis Korea Ltd. - anti-competitive practices
VTG24-72348,KR,LG Uplus,diversified,consumer-protection-related offenses,consumer protection violation,2023.5.24,2162600,Korea Fair Trade Commission,The KFTC fined LG over 2 billion won for making misleading statements about the performance of its 5G network.,https://koreajoongangdaily.joins.com/2023/05/24/business/industry/korea-5g-speed/20230524190733614.html,LG Uplus - consumer protection violation
VTG24-75811,KR,Yang Ming,freight and logistics,competition-related offenses,anti-competitive practices,2022.1.18,2028385,Korea Fair Trade Commission,The Fair Trade Commission imposed a total of KRW 96.2 billion in fines along with corrective orders on 12 domestic shipping companies and 11 foreign shipping companies that agreed on freight rates a total of 120 times on Korea-Southeast Asia export and import routes through a total of 541 meetings from December 2003 to December 2018.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=133&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=42297",Yang Ming - anti-competitive practices
VTG24-72378,KR,Hanjin,diversified,competition-related offenses,anti-competitive practices,2019.10.10,2018251,Korea Fair Trade Commission,The KFTC fined Hanjin more than 2 billion won for bid rigging at auctions for shipping services for imported brown rice.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=224&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=41252",Hanjin - anti-competitive practices
VTG24-75814,KR,KT Corporation,telecommunications,competition-related offenses,anti-competitive practices,2014.4.14,2005460,Korea Fair Trade Commission,The KFTC fined KT for pressuring a small electronics company to sign an unfair supplier contract.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=433&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=38804",KT Corporation - anti-competitive practices
VTG24-75810,KR,OOCL,freight and logistics,competition-related offenses,anti-competitive practices,2022.1.18,1994005,Korea Fair Trade Commission,The Fair Trade Commission imposed a total of KRW 96.2 billion in fines along with corrective orders on 12 domestic shipping companies and 11 foreign shipping companies that agreed on freight rates a total of 120 times on Korea-Southeast Asia export and import routes through a total of 541 meetings from December 2003 to December 2018.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=133&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=42297",OOCL - anti-competitive practices
VTG24-72468,KR,Hyundai Mobis,automotive parts,competition-related offenses,anti-competitive practices,2012.7.26,1992978,Korea Fair Trade Commission,The KFTC fined Hyundai Mobis for unfairly demanding lower prices from subcontractors.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=492&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=38133",Hyundai Mobis - anti-competitive practices
VTG24-75808,KR,SeaLand Maersk,freight and logistics,competition-related offenses,anti-competitive practices,2022.1.18,1990651,Korea Fair Trade Commission,The Fair Trade Commission imposed a total of KRW 96.2 billion in fines along with corrective orders on 12 domestic shipping companies and 11 foreign shipping companies that agreed on freight rates a total of 120 times on Korea-Southeast Asia export and import routes through a total of 541 meetings from December 2003 to December 2018.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=133&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=42297",SeaLand Maersk - anti-competitive practices
VTG24-72507,KR,Singapore Airlines Cargo,airlines,competition-related offenses,anti-competitive practices,2010.5.28,1909717,Korea Fair Trade Commission,The KFTC fined 19 airlines for conspiring to introduce fuel surcharges and continuing to raise surcharge rates for air cargo to and from Korea between 1999 and 2007.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139252480&rs=/viewer/synap/preview/,Singapore Airlines Cargo - anti-competitive practices
